"table_schema","table_name","table_type"
"public","admin_cost_analytics","VIEW"
"public","admin_financial_summary","VIEW"
"public","admin_provider_analytics","VIEW"
"public","affiliate_link_clicks","BASE TABLE"
"public","ai_provider_usage","BASE TABLE"
"public","ai_providers","BASE TABLE"
"public","ai_providers_config","BASE TABLE"
"public","alembic_version","BASE TABLE"
"public","analysis_queue","BASE TABLE"
"public","campaign_assets","BASE TABLE"
"public","campaigns","BASE TABLE"
"public","category_performance_summary","VIEW"
"public","clickbank_accounts","BASE TABLE"
"public","clickbank_category_urls","BASE TABLE"
"public","clickbank_products","BASE TABLE"
"public","clickbank_sales","BASE TABLE"
"public","companies","BASE TABLE"
"public","company_invitations","BASE TABLE"
"public","company_memberships","BASE TABLE"
"public","content_generation_workflows","BASE TABLE"
"public","content_generations","BASE TABLE"
"public","content_templates","BASE TABLE"
"public","conversion_events","BASE TABLE"
"public","cost_effectiveness","BASE TABLE"
"public","email_subject_performance","BASE TABLE"
"public","email_subject_templates","BASE TABLE"
"public","generated_content","BASE TABLE"
"public","generated_prompts","BASE TABLE"
"public","generator_health_dashboard","VIEW"
"public","generator_lifecycle_analytics","VIEW"
"public","generator_success_prediction","VIEW"
"public","generator_type_analytics","VIEW"
"public","intelligence_core","BASE TABLE"
"public","intelligence_research","BASE TABLE"
"public","knowledge_base","BASE TABLE"
"public","landing_page_analytics","BASE TABLE"
"public","landing_page_components","BASE TABLE"
"public","landing_page_templates","BASE TABLE"
"public","landing_page_variants","BASE TABLE"
"public","market_data","BASE TABLE"
"public","new_generator_detection","VIEW"
"public","performance_metrics","BASE TABLE"
"public","platform_analytics","BASE TABLE"
"public","pricing_history","BASE TABLE"
"public","proactive_analysis_queue","BASE TABLE"
"public","product_analytics","BASE TABLE"
"public","product_creator_invites","BASE TABLE"
"public","product_creator_submissions","BASE TABLE"
"public","product_data","BASE TABLE"
"public","product_performance","BASE TABLE"
"public","provider_health","BASE TABLE"
"public","routing_decisions","BASE TABLE"
"public","scraped_content","BASE TABLE"
"public","scraping_health_dashboard","VIEW"
"public","scraping_logs","BASE TABLE"
"public","scraping_schedule","BASE TABLE"
"public","smart_urls","BASE TABLE"
"public","social_media_analyses","BASE TABLE"
"public","system_analytics","BASE TABLE"
"public","top_performing_products","VIEW"
"public","universal_cost_analytics","VIEW"
"public","usage_analytics","BASE TABLE"
"public","user_affiliate_preferences","BASE TABLE"
"public","user_analytics","BASE TABLE"
"public","user_clickbank_favorites","BASE TABLE"
"public","user_content_insights","VIEW"
"public","user_intelligence_cache","BASE TABLE"
"public","user_preferences","BASE TABLE"
"public","user_social_profiles","BASE TABLE"
"public","user_storage_usage","BASE TABLE"
"public","user_types","BASE TABLE"
"public","users","BASE TABLE"
"public","waitlist","BASE TABLE"
